# CaFe Relative Yield Correction Factors (using MF kinematics) 
# 
# Header Definitions: 
# deltaY       : difference in relative charge-norm, eff.-corrected data yield between lowest and highest T2 rate runs 
# deltaY_err   : error in deltaY 
# deltaX       : difference between lowest and highest T2 rates [kHz] 
# slope        : deltaY/deltaX or drop in relative yield per kHz (to be used as correction factor) 
# slope_err    : error in slope 
phase,target,deltaY,deltaY_err,deltaX,slope,slope_err
0, Be9, 6.768E-02, 7.519E-03, 115.230, 5.873E-04, 6.525E-05 
1, Be9, 3.210E-02, 7.604E-03, 115.230, 2.786E-04, 6.599E-05 
0, B10, 4.033E-02, 7.910E-03, 51.310, 7.860E-04, 1.542E-04 
1, B10, 2.685E-02, 7.863E-03, 51.310, 5.233E-04, 1.533E-04 
0, B11, 4.990E-02, 1.343E-02, 48.370, 1.032E-03, 2.777E-04 
1, B11, 3.955E-02, 1.332E-02, 48.370, 8.176E-04, 2.753E-04 
0, C12, 2.835E-02, 9.225E-03, 54.110, 5.239E-04, 1.705E-04 
1, C12, 2.595E-02, 9.063E-03, 54.110, 4.796E-04, 1.675E-04 
0, Ca40, 7.079E-02, 8.213E-03, 80.350, 8.810E-04, 1.022E-04 
1, Ca40, 2.979E-02, 8.413E-03, 80.350, 3.708E-04, 1.047E-04 
0, Ca48, 7.986E-02, 8.089E-03, 110.720, 7.213E-04, 7.306E-05 
1, Ca48, 3.410E-02, 8.338E-03, 110.720, 3.080E-04, 7.531E-05 
0, Fe54, 2.882E-02, 8.777E-03, 6.580, 4.380E-03, 1.334E-03 
1, Fe54, 9.456E-03, 8.883E-03, 6.580, 1.437E-03, 1.350E-03 
0, Au197, 2.463E-02, 1.781E-02, 7.370, 3.342E-03, 2.416E-03 
1, Au197, 2.155E-02, 1.739E-02, 7.370, 2.924E-03, 2.359E-03 
