# CaFe Systematics Cuts File
# 
# Header Definitions: 
# entry           : entry to identify each of the gaussian random-generated cuts below
# Q2_min,max      : 4-momentum transfer (MF,SRC) [GeV^2] 
# Em_min,max_mf   : Missing Energy (MF) [GeV] 
# Pm_min,max_mf   : Missing Momentum (MF) [GeV/c] 
# xbj_min,max     : x-bjorken (SRC) 
# thrq_min,max    : recoil nucleon angle relative to q-vector (SRC) [deg] 
# Pm_min,max_src  : Missing Momentum (SRC) [GeV/c] 
# hms/shms_coll   : HMS/SHMS collimator scale factor cut variation
# entry,Q2_min,Q2_max,Em_min_mf,Em_max_mf,Pm_min_mf,Pm_max_mf,xbj_min,xbj_max,thrq_min,thrq_max,Pm_min_src,Pm_max_src, hms_coll, shms_coll
3766,1.800, 100.000, -0.020,0.089,0.000,0.257,1.130,100.000,0.000,43.931,0.359,0.673,1.000,1.030 
3767,1.800, 100.000, -0.020,0.086,0.000,0.262,1.190,100.000,0.000,42.164,0.385,0.786,1.033,0.985 
3768,1.800, 100.000, -0.020,0.085,0.000,0.289,1.210,100.000,0.000,40.374,0.365,0.739,1.023,1.033 
3769,1.800, 100.000, -0.020,0.090,0.000,0.285,1.237,100.000,0.000,39.472,0.394,0.668,0.977,0.979 
3770,1.800, 100.000, -0.020,0.089,0.000,0.283,1.274,100.000,0.000,41.243,0.377,0.712,1.006,1.035 
3771,1.800, 100.000, -0.020,0.091,0.000,0.269,1.264,100.000,0.000,39.866,0.365,0.728,1.070,1.035 
3772,1.800, 100.000, -0.020,0.094,0.000,0.282,1.162,100.000,0.000,42.700,0.371,0.655,1.046,0.989 
3773,1.800, 100.000, -0.020,0.094,0.000,0.276,1.103,100.000,0.000,35.878,0.383,0.706,0.996,1.008 
3774,1.800, 100.000, -0.020,0.090,0.000,0.274,1.180,100.000,0.000,37.146,0.366,0.688,0.939,1.014 
3775,1.800, 100.000, -0.020,0.089,0.000,0.277,1.147,100.000,0.000,39.607,0.391,0.688,1.051,1.089 
3776,1.800, 100.000, -0.020,0.093,0.000,0.270,1.186,100.000,0.000,43.242,0.381,0.721,1.023,0.989 
3777,1.800, 100.000, -0.020,0.090,0.000,0.283,1.168,100.000,0.000,41.316,0.388,0.718,1.083,1.002 
3778,1.800, 100.000, -0.020,0.092,0.000,0.256,1.166,100.000,0.000,37.585,0.387,0.741,0.978,0.978 
3779,1.800, 100.000, -0.020,0.092,0.000,0.259,1.187,100.000,0.000,42.602,0.370,0.716,0.978,1.007 
3780,1.800, 100.000, -0.020,0.091,0.000,0.272,1.199,100.000,0.000,41.014,0.402,0.746,1.062,0.949 
3781,1.800, 100.000, -0.020,0.090,0.000,0.269,1.194,100.000,0.000,40.671,0.398,0.741,0.980,0.953 
3782,1.800, 100.000, -0.020,0.092,0.000,0.255,1.199,100.000,0.000,41.914,0.359,0.690,0.957,0.945 
3783,1.800, 100.000, -0.020,0.086,0.000,0.270,1.157,100.000,0.000,37.820,0.382,0.724,0.934,0.995 
3784,1.800, 100.000, -0.020,0.093,0.000,0.276,1.332,100.000,0.000,43.431,0.367,0.735,0.978,1.000 
3785,1.800, 100.000, -0.020,0.089,0.000,0.276,1.143,100.000,0.000,36.248,0.375,0.719,1.008,0.949 
3786,1.800, 100.000, -0.020,0.088,0.000,0.274,1.241,100.000,0.000,43.035,0.374,0.689,0.957,1.021 
3787,1.800, 100.000, -0.020,0.087,0.000,0.263,1.176,100.000,0.000,44.540,0.377,0.717,0.982,1.053 
3788,1.800, 100.000, -0.020,0.092,0.000,0.262,1.198,100.000,0.000,38.097,0.362,0.712,0.976,1.012 
3789,1.800, 100.000, -0.020,0.088,0.000,0.290,1.137,100.000,0.000,38.823,0.374,0.668,1.004,1.016 
3790,1.800, 100.000, -0.020,0.089,0.000,0.260,1.153,100.000,0.000,40.042,0.385,0.605,0.964,1.033 
3791,1.800, 100.000, -0.020,0.090,0.000,0.274,1.207,100.000,0.000,37.090,0.397,0.651,0.985,1.019 
3792,1.800, 100.000, -0.020,0.093,0.000,0.274,1.209,100.000,0.000,40.067,0.372,0.742,0.950,1.021 
3793,1.800, 100.000, -0.020,0.089,0.000,0.285,1.252,100.000,0.000,38.767,0.389,0.692,0.946,1.018 
3794,1.800, 100.000, -0.020,0.089,0.000,0.271,1.258,100.000,0.000,38.211,0.374,0.733,0.947,1.000 
3795,1.800, 100.000, -0.020,0.090,0.000,0.257,1.142,100.000,0.000,42.451,0.378,0.619,1.013,0.963 
3796,1.800, 100.000, -0.020,0.090,0.000,0.274,1.157,100.000,0.000,39.465,0.375,0.668,1.058,1.041 
3797,1.800, 100.000, -0.020,0.089,0.000,0.290,1.211,100.000,0.000,41.854,0.373,0.626,0.999,0.984 
3798,1.800, 100.000, -0.020,0.087,0.000,0.271,1.218,100.000,0.000,36.694,0.385,0.705,1.005,1.001 
3799,1.800, 100.000, -0.020,0.088,0.000,0.277,1.258,100.000,0.000,42.412,0.367,0.723,0.979,1.021 
3800,1.800, 100.000, -0.020,0.094,0.000,0.275,1.154,100.000,0.000,41.762,0.367,0.743,1.044,1.034 
3801,1.800, 100.000, -0.020,0.088,0.000,0.260,1.157,100.000,0.000,40.948,0.377,0.694,0.943,0.996 
3802,1.800, 100.000, -0.020,0.084,0.000,0.276,1.183,100.000,0.000,41.592,0.377,0.725,0.994,0.982 
3803,1.800, 100.000, -0.020,0.083,0.000,0.283,1.219,100.000,0.000,42.183,0.394,0.601,0.982,1.000 
3804,1.800, 100.000, -0.020,0.092,0.000,0.276,1.212,100.000,0.000,39.439,0.388,0.725,0.944,0.989 
3805,1.800, 100.000, -0.020,0.090,0.000,0.261,1.163,100.000,0.000,40.751,0.383,0.668,0.984,0.978 
3806,1.800, 100.000, -0.020,0.091,0.000,0.267,1.099,100.000,0.000,39.464,0.385,0.712,1.001,1.029 
3807,1.800, 100.000, -0.020,0.087,0.000,0.267,1.116,100.000,0.000,41.566,0.372,0.739,1.031,0.993 
3808,1.800, 100.000, -0.020,0.089,0.000,0.274,1.135,100.000,0.000,39.774,0.399,0.676,0.982,0.995 
3809,1.800, 100.000, -0.020,0.091,0.000,0.299,1.231,100.000,0.000,40.346,0.369,0.682,0.979,1.042 
3810,1.800, 100.000, -0.020,0.090,0.000,0.267,1.226,100.000,0.000,40.281,0.364,0.780,0.913,0.963 
3811,1.800, 100.000, -0.020,0.088,0.000,0.262,1.236,100.000,0.000,40.938,0.370,0.710,1.028,1.003 
3812,1.800, 100.000, -0.020,0.088,0.000,0.276,1.282,100.000,0.000,41.557,0.364,0.751,1.101,0.946 
3813,1.800, 100.000, -0.020,0.085,0.000,0.277,1.252,100.000,0.000,40.832,0.375,0.807,0.990,0.984 
3814,1.800, 100.000, -0.020,0.089,0.000,0.255,1.228,100.000,0.000,41.507,0.379,0.713,0.964,1.030 
3815,1.800, 100.000, -0.020,0.088,0.000,0.263,1.149,100.000,0.000,41.663,0.359,0.685,1.011,1.043 
3816,1.800, 100.000, -0.020,0.096,0.000,0.263,1.179,100.000,0.000,38.878,0.386,0.701,1.010,0.990 
3817,1.800, 100.000, -0.020,0.088,0.000,0.266,1.182,100.000,0.000,35.489,0.400,0.651,1.006,0.997 
3818,1.800, 100.000, -0.020,0.089,0.000,0.277,1.130,100.000,0.000,40.563,0.355,0.706,0.995,1.022 
3819,1.800, 100.000, -0.020,0.090,0.000,0.263,1.250,100.000,0.000,42.003,0.380,0.713,0.951,1.071 
3820,1.800, 100.000, -0.020,0.091,0.000,0.275,1.161,100.000,0.000,38.667,0.355,0.656,0.987,1.012 
