# CaFe Systematics Cuts File
# 
# Header Definitions: 
# entry           : entry to identify each of the gaussian random-generated cuts below
# Q2_min,max      : 4-momentum transfer (MF,SRC) [GeV^2] 
# Em_min,max_mf   : Missing Energy (MF) [GeV] 
# Pm_min,max_mf   : Missing Momentum (MF) [GeV/c] 
# xbj_min,max     : x-bjorken (SRC) 
# thrq_min,max    : recoil nucleon angle relative to q-vector (SRC) [deg] 
# Pm_min,max_src  : Missing Momentum (SRC) [GeV/c] 
# hms/shms_coll   : HMS/SHMS collimator scale factor cut variation
# entry,Q2_min,Q2_max,Em_min_mf,Em_max_mf,Pm_min_mf,Pm_max_mf,xbj_min,xbj_max,thrq_min,thrq_max,Pm_min_src,Pm_max_src, hms_coll, shms_coll
0,1.825, 100.000, -0.020,0.089,0.000,0.266,1.232,100.000,0.000,41.624,0.378,0.653,1.053,0.973 
1,1.773, 100.000, -0.020,0.090,0.000,0.269,1.137,100.000,0.000,41.333,0.375,0.816,1.057,1.008 
2,1.828, 100.000, -0.020,0.092,0.000,0.273,1.187,100.000,0.000,38.870,0.375,0.724,1.038,1.005 
3,1.726, 100.000, -0.020,0.090,0.000,0.280,1.226,100.000,0.000,37.516,0.376,0.658,1.006,1.006 
4,1.791, 100.000, -0.020,0.090,0.000,0.246,1.161,100.000,0.000,39.304,0.369,0.708,0.954,1.035 
5,1.799, 100.000, -0.020,0.089,0.000,0.265,1.202,100.000,0.000,39.432,0.375,0.650,0.989,1.000 
6,1.726, 100.000, -0.020,0.096,0.000,0.273,1.183,100.000,0.000,38.888,0.375,0.705,0.943,1.030 
7,1.772, 100.000, -0.020,0.087,0.000,0.267,1.164,100.000,0.000,38.187,0.374,0.601,0.972,1.012 
8,1.867, 100.000, -0.020,0.089,0.000,0.258,1.182,100.000,0.000,39.463,0.379,0.715,0.996,1.024 
9,1.819, 100.000, -0.020,0.090,0.000,0.275,1.285,100.000,0.000,41.817,0.365,0.707,0.990,0.958 
10,1.818, 100.000, -0.020,0.085,0.000,0.280,1.171,100.000,0.000,37.928,0.383,0.784,1.047,0.985 
11,1.769, 100.000, -0.020,0.089,0.000,0.251,1.187,100.000,0.000,42.244,0.381,0.693,1.014,0.973 
12,1.786, 100.000, -0.020,0.092,0.000,0.247,1.227,100.000,0.000,37.267,0.365,0.709,1.083,1.002 
13,1.852, 100.000, -0.020,0.088,0.000,0.278,1.221,100.000,0.000,41.770,0.378,0.763,1.003,0.971 
14,1.729, 100.000, -0.020,0.092,0.000,0.283,1.168,100.000,0.000,39.965,0.363,0.649,0.945,1.027 
15,1.756, 100.000, -0.020,0.090,0.000,0.280,1.132,100.000,0.000,39.857,0.372,0.650,0.954,1.008 
16,1.885, 100.000, -0.020,0.090,0.000,0.261,1.229,100.000,0.000,42.343,0.366,0.692,0.989,0.964 
17,1.845, 100.000, -0.020,0.085,0.000,0.271,1.206,100.000,0.000,42.896,0.383,0.727,1.031,0.993 
18,1.744, 100.000, -0.020,0.087,0.000,0.290,1.206,100.000,0.000,40.332,0.373,0.709,1.086,1.061 
19,1.776, 100.000, -0.020,0.090,0.000,0.253,1.144,100.000,0.000,39.539,0.369,0.703,1.078,1.115 
20,1.740, 100.000, -0.020,0.090,0.000,0.259,1.140,100.000,0.000,40.639,0.362,0.701,1.089,0.981 
21,1.803, 100.000, -0.020,0.090,0.000,0.280,1.256,100.000,0.000,40.254,0.376,0.726,1.010,1.046 
22,1.796, 100.000, -0.020,0.093,0.000,0.278,1.206,100.000,0.000,38.917,0.375,0.718,0.959,0.945 
23,1.756, 100.000, -0.020,0.087,0.000,0.280,1.143,100.000,0.000,40.419,0.364,0.785,0.971,0.990 
